,SendTech,INFUEL,INTECH,OUTFUEL,ReceiveTech
286,TRHV_65,EL2_65,TRHV_64,EL2_64,TRHV_64
288,TRHV_65,EL2_65,TRHV_66,EL2_66,TRHV_66
289,TRHV_65,EL2_65,TRHV_45,EL2_45,TRHV_45
290,TRHV_66,EL2_66,TRHV_84,EL2_84,TRHV_84
291,TRHV_66,EL2_66,TRHV_65,EL2_65,TRHV_65
293,TRHV_66,EL2_66,TRHV_67,EL2_67,TRHV_67
294,TRHV_66,EL2_66,TRHV_46,EL2_46,TRHV_46
295,TRHV_67,EL2_67,TRHV_85,EL2_85,TRHV_85
296,TRHV_67,EL2_67,TRHV_66,EL2_66,TRHV_66
298,TRHV_67,EL2_67,TRHV_68,EL2_68,TRHV_68
299,TRHV_67,EL2_67,TRHV_47,EL2_47,TRHV_47
300,TRHV_68,EL2_68,TRHV_86,EL2_86,TRHV_86
301,TRHV_68,EL2_68,TRHV_67,EL2_67,TRHV_67
303,TRHV_68,EL2_68,TRHV_69,EL2_69,TRHV_69
306,TRHV_69,EL2_69,TRHV_68,EL2_68,TRHV_68
308,TRHV_69,EL2_69,TRHV_70,EL2_70,TRHV_70
311,TRHV_70,EL2_70,TRHV_69,EL2_69,TRHV_69
313,TRHV_70,EL2_70,TRHV_71,EL2_71,TRHV_71
314,TRHV_70,EL2_70,TRHV_50,EL2_50,TRHV_50
315,TRHV_71,EL2_71,TRHV_89,EL2_89,TRHV_89
316,TRHV_71,EL2_71,TRHV_70,EL2_70,TRHV_70
318,TRHV_71,EL2_71,TRHV_72,EL2_72,TRHV_72
320,TRHV_72,EL2_72,TRHV_90,EL2_90,TRHV_90
321,TRHV_72,EL2_72,TRHV_71,EL2_71,TRHV_71
335,TRHV_75,EL2_75,TRHV_76,EL2_76,TRHV_76
336,TRHV_75,EL2_75,TRHV_57,EL2_57,TRHV_57
338,TRHV_76,EL2_76,TRHV_75,EL2_75,TRHV_75
339,TRHV_76,EL2_76,TRHV_77,EL2_77,TRHV_77
344,TRHV_77,EL2_77,TRHV_76,EL2_76,TRHV_76
345,TRHV_77,EL2_77,TRHV_78,EL2_78,TRHV_78
346,TRHV_77,EL2_77,TRHV_59,EL2_59,TRHV_59
347,TRHV_78,EL2_78,TRHV_95,EL2_95,TRHV_95
348,TRHV_78,EL2_78,TRHV_77,EL2_77,TRHV_77
350,TRHV_78,EL2_78,TRHV_79,EL2_79,TRHV_79
351,TRHV_78,EL2_78,TRHV_60,EL2_60,TRHV_60
352,TRHV_79,EL2_79,TRHV_96,EL2_96,TRHV_96
353,TRHV_79,EL2_79,TRHV_78,EL2_78,TRHV_78
355,TRHV_79,EL2_79,TRHV_80,EL2_80,TRHV_80
356,TRHV_79,EL2_79,TRHV_61,EL2_61,TRHV_61
358,TRHV_80,EL2_80,TRHV_79,EL2_79,TRHV_79
360,TRHV_80,EL2_80,TRHV_81,EL2_81,TRHV_81
361,TRHV_80,EL2_80,TRHV_62,EL2_62,TRHV_62
362,TRHV_81,EL2_81,TRHV_98,EL2_98,TRHV_98
363,TRHV_81,EL2_81,TRHV_80,EL2_80,TRHV_80
365,TRHV_81,EL2_81,TRHV_82,EL2_82,TRHV_82
366,TRHV_81,EL2_81,TRHV_63,EL2_63,TRHV_63
367,TRHV_82,EL2_82,TRHV_99,EL2_99,TRHV_99
368,TRHV_82,EL2_82,TRHV_81,EL2_81,TRHV_81
370,TRHV_82,EL2_82,TRHV_83,EL2_83,TRHV_83
371,TRHV_82,EL2_82,TRHV_64,EL2_64,TRHV_64
373,TRHV_83,EL2_83,TRHV_82,EL2_82,TRHV_82
375,TRHV_83,EL2_83,TRHV_84,EL2_84,TRHV_84
376,TRHV_83,EL2_83,TRHV_65,EL2_65,TRHV_65
377,TRHV_84,EL2_84,TRHV_101,EL2_101,TRHV_101
378,TRHV_84,EL2_84,TRHV_83,EL2_83,TRHV_83
380,TRHV_84,EL2_84,TRHV_85,EL2_85,TRHV_85
381,TRHV_84,EL2_84,TRHV_66,EL2_66,TRHV_66
383,TRHV_85,EL2_85,TRHV_84,EL2_84,TRHV_84
385,TRHV_85,EL2_85,TRHV_86,EL2_86,TRHV_86
386,TRHV_85,EL2_85,TRHV_67,EL2_67,TRHV_67
387,TRHV_86,EL2_86,TRHV_103,EL2_103,TRHV_103
388,TRHV_86,EL2_86,TRHV_85,EL2_85,TRHV_85
391,TRHV_86,EL2_86,TRHV_68,EL2_68,TRHV_68
