,Technology,Capitalcost
82,TRLV_117_0,1595.836138
83,TRLV_117_1,400.0840345
507,TRLV_118_0,836.8104522
508,TRLV_119_0,266.5844751
439,TRLV_12_0,2353.31125
84,TRLV_120_0,1765.715251
85,TRLV_120_1,442.5538128
509,TRLV_121_0,1387.403807
86,TRLV_122_0,2249.373529
87,TRLV_122_1,563.4683824
88,TRLV_123_0,1563.552237
89,TRLV_123_1,392.0130592
510,TRLV_124_0,949.7161451
511,TRLV_125_0,1880.891586
90,TRLV_126_0,8581.766872
91,TRLV_126_1,2146.566718
92,TRLV_127_0,6597.340304
93,TRLV_127_1,1650.460076
512,TRLV_128_0,2434.721217
513,TRLV_129_0,2678.202586
440,TRLV_13_0,896.917535
514,TRLV_130_0,1345.077245
94,TRLV_131_0,1870.401301
95,TRLV_131_1,468.7253252
515,TRLV_132_0,2218.825581
516,TRLV_133_0,1991.132164
96,TRLV_134_0,722.3666237
97,TRLV_134_1,181.7166559
517,TRLV_135_0,588.1458364
518,TRLV_136_0,642.6986829
519,TRLV_137_0,416.4209
520,TRLV_138_0,1863.713761
521,TRLV_139_0,1833.771618
441,TRLV_14_0,465.8810077
98,TRLV_140_0,4439.480535
99,TRLV_140_1,1110.995134
522,TRLV_141_0,2391.610231
523,TRLV_142_0,2086.236663
100,TRLV_143_0,16264.45047
101,TRLV_143_1,4067.237617
102,TRLV_144_0,11956.72662
103,TRLV_144_1,2990.306656
104,TRLV_145_0,3953.114299
105,TRLV_145_1,989.4035748
524,TRLV_146_0,2820.381905
106,TRLV_147_0,3793.329888
107,TRLV_147_1,949.4574721
108,TRLV_148_0,3507.137936
109,TRLV_148_1,877.909484
110,TRLV_149_0,2300.968956
111,TRLV_149_1,576.367239
442,TRLV_15_0,356.6692184
525,TRLV_150_0,1899.293226
526,TRLV_151_0,1082.853843
527,TRLV_152_0,299.4032266
112,TRLV_153_0,1192.153263
113,TRLV_153_1,299.1633158
528,TRLV_154_0,1980.938129
529,TRLV_155_0,1785.59755
530,TRLV_156_0,2540.696777
531,TRLV_157_0,1971.494899
532,TRLV_158_0,2745.183354
533,TRLV_159_0,547.0112219
10,TRLV_16_0,2796.67597
11,TRLV_16_1,700.2939924
114,TRLV_160_0,16634.56017
115,TRLV_160_1,4159.765042
116,TRLV_161_0,10823.24362
117,TRLV_161_1,2706.935904
118,TRLV_162_0,9274.600268
119,TRLV_162_1,2319.775067
120,TRLV_163_0,4619.407052
121,TRLV_163_1,1155.976763
122,TRLV_164_0,4150.298753
123,TRLV_164_1,1038.699688
124,TRLV_165_0,5278.89729
125,TRLV_165_1,1320.849322
126,TRLV_166_0,5239.960847
127,TRLV_166_1,1311.115212
128,TRLV_167_0,3166.705413
129,TRLV_167_1,792.8013532
130,TRLV_168_0,1071.810955
131,TRLV_168_1,269.0777386
534,TRLV_169_0,1197.786295
12,TRLV_17_0,2747.741324
13,TRLV_17_1,688.0603311
535,TRLV_170_0,1000.044136
132,TRLV_171_0,2298.654403
133,TRLV_171_1,575.7886007
134,TRLV_172_0,915.1913137
135,TRLV_172_1,229.9228284
136,TRLV_173_0,2097.973185
137,TRLV_173_1,525.6182963
138,TRLV_174_0,1063.701328
139,TRLV_174_1,267.050332
536,TRLV_175_0,1863.11036
537,TRLV_176_0,1498.598531
538,TRLV_177_0,3090.129782
140,TRLV_178_0,15388.91651
141,TRLV_178_1,3848.354129
142,TRLV_179_0,10138.65214
143,TRLV_179_1,2535.788035
443,TRLV_18_0,1742.430496
144,TRLV_180_0,7398.939354
145,TRLV_180_1,1850.859839
146,TRLV_181_0,4927.119945
147,TRLV_181_1,1232.904986
148,TRLV_182_0,6563.033459
149,TRLV_182_1,1641.883365
150,TRLV_183_0,4145.489529
151,TRLV_183_1,1037.497382
152,TRLV_184_0,3816.725687
153,TRLV_184_1,955.3064217
154,TRLV_185_0,3582.741435
155,TRLV_185_1,896.8103587
156,TRLV_186_0,2618.498914
157,TRLV_186_1,655.7497285
158,TRLV_187_0,2971.706455
159,TRLV_187_1,744.0516137
160,TRLV_188_0,2622.29196
161,TRLV_188_1,656.69799
162,TRLV_189_0,1711.586018
163,TRLV_189_1,429.0215044
444,TRLV_19_0,1671.868728
164,TRLV_190_0,1768.366424
165,TRLV_190_1,443.216606
539,TRLV_191_0,2097.050805
166,TRLV_192_0,1802.124771
167,TRLV_192_1,451.6561928
168,TRLV_193_0,2299.746015
169,TRLV_193_1,576.0615038
540,TRLV_194_0,2187.518443
541,TRLV_195_0,1613.662801
542,TRLV_196_0,3311.818672
170,TRLV_197_0,8699.476526
171,TRLV_197_1,2175.994131
172,TRLV_198_0,10195.28427
173,TRLV_198_1,2549.946068
174,TRLV_199_0,8905.301067
175,TRLV_199_1,2227.450267
434,TRLV_2_0,4455.503808
14,TRLV_20_0,5696.433636
15,TRLV_20_1,1425.233409
176,TRLV_200_0,6588.402928
177,TRLV_200_1,1648.225732
178,TRLV_201_0,5743.161025
179,TRLV_201_1,1436.915256
180,TRLV_202_0,7045.659652
181,TRLV_202_1,1762.539913
182,TRLV_203_0,8195.043451
183,TRLV_203_1,2049.885863
184,TRLV_204_0,6636.339977
185,TRLV_204_1,1660.209994
186,TRLV_205_0,2606.731831
187,TRLV_205_1,652.8079579
188,TRLV_206_0,4134.699927
189,TRLV_206_1,1034.799982
190,TRLV_207_0,5432.25863
191,TRLV_207_1,1359.189658
192,TRLV_208_0,10360.35808
193,TRLV_208_1,2591.214519
194,TRLV_209_0,1705.657096
195,TRLV_209_1,427.539274
16,TRLV_21_0,1489.914517
17,TRLV_21_1,373.6036291
543,TRLV_210_0,1401.840345
544,TRLV_211_0,1498.056345
545,TRLV_212_0,1497.421197
546,TRLV_213_0,1855.463008
547,TRLV_214_0,2589.379432
196,TRLV_215_0,6027.996928
197,TRLV_215_1,1508.124232
198,TRLV_216_0,1766.704599
199,TRLV_216_1,442.8011496
200,TRLV_217_0,4237.304524
201,TRLV_217_1,1060.451131
202,TRLV_218_0,7185.042164
203,TRLV_218_1,1797.385541
204,TRLV_219_0,4129.447673
205,TRLV_219_1,1033.486918
445,TRLV_22_0,1713.53326
206,TRLV_220_0,7884.579359
207,TRLV_220_1,1972.26984
208,TRLV_221_0,9291.055973
209,TRLV_221_1,2323.888993
210,TRLV_222_0,5423.472736
211,TRLV_222_1,1356.993184
212,TRLV_223_0,6641.660253
213,TRLV_223_1,1661.540063
214,TRLV_224_0,5309.680165
215,TRLV_224_1,1328.545041
216,TRLV_225_0,5590.883734
217,TRLV_225_1,1398.845933
218,TRLV_226_0,1222.578023
219,TRLV_226_1,306.7695058
220,TRLV_227_0,2603.494863
221,TRLV_227_1,651.9987159
222,TRLV_228_0,9391.551322
223,TRLV_228_1,2349.012831
224,TRLV_229_0,5786.911678
225,TRLV_229_1,1447.85292
446,TRLV_23_0,1815.645794
548,TRLV_230_0,701.7213931
549,TRLV_231_0,2779.554359
226,TRLV_232_0,1861.91299
227,TRLV_232_1,466.6032476
228,TRLV_233_0,1437.03384
229,TRLV_233_1,360.38346
550,TRLV_234_0,1056.623351
230,TRLV_235_0,3138.015898
231,TRLV_235_1,785.6289746
551,TRLV_236_0,874.9090573
232,TRLV_237_0,5785.980232
233,TRLV_237_1,1447.620058
234,TRLV_238_0,11539.01451
235,TRLV_238_1,2885.878627
236,TRLV_239_0,10100.85838
237,TRLV_239_1,2526.339595
447,TRLV_24_0,503.0665447
238,TRLV_240_0,9077.445393
239,TRLV_240_1,2270.486348
240,TRLV_241_0,8341.938338
241,TRLV_241_1,2086.609585
242,TRLV_242_0,11580.04273
243,TRLV_242_1,2896.135683
244,TRLV_243_0,6323.276439
245,TRLV_243_1,1581.94411
246,TRLV_244_0,5119.801445
247,TRLV_244_1,1281.075361
248,TRLV_245_0,1725.823157
249,TRLV_245_1,432.5807892
250,TRLV_246_0,3454.235336
251,TRLV_246_1,864.6838341
252,TRLV_247_0,7906.054703
253,TRLV_247_1,1977.638676
254,TRLV_248_0,7389.616528
255,TRLV_248_1,1848.529132
256,TRLV_249_0,8218.003461
257,TRLV_249_1,2055.625865
448,TRLV_25_0,160.9143758
552,TRLV_250_0,1683.03892
258,TRLV_251_0,382.9370352
259,TRLV_251_1,96.85925881
260,TRLV_252_0,600.6295774
261,TRLV_252_1,151.2823943
262,TRLV_253_0,2399.460224
263,TRLV_253_1,600.990056
553,TRLV_254_0,789.2649898
554,TRLV_255_0,996.7140558
555,TRLV_256_0,588.2487601
264,TRLV_257_0,6361.070061
265,TRLV_257_1,1591.392515
