Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_12_0,0,0,0,0,0,215.7497097,457.3893845,727.2491214,1027.845425,1361.895188,1732.330679,2142.315606,2595.262335,3094.850334,3645.045949,3863.748706,4095.573628,4341.308046,4601.786529,4877.893721,5170.567344,5480.801385,5809.649468,6158.228436,6527.722142
EL3_13_0,0,0,0,0,0,26.61603584,56.42599599,89.71733362,126.8004982,168.0106601,213.7095596,264.2874887,320.1654149,381.7972573,449.6723253,476.6526648,505.2518247,535.5669342,567.7009502,601.7630072,637.8687877,676.1409149,716.7093698,759.711932,805.2946479
EL3_14_0,0,0,0,0,0,4.68047194,9.922600513,15.77693482,22.29806787,29.54493993,37.58116359,46.47537231,56.30159388,67.1396507,79.07558861,83.82012392,88.84933136,94.18029124,99.83110872,105.8209752,112.1702338,118.9004478,126.0344746,133.5965431,141.6123357
EL3_15_0,0,0,0,0,0,84.97231588,180.1413097,286.4246824,404.8135511,536.3779552,682.272759,843.7439786,1022.135563,1218.896659,1435.589398,1521.724762,1613.028247,1709.809942,1812.398539,1921.142451,2036.410998,2158.595658,2288.111398,2425.398081,2570.921966
EL3_16_0,0,0,0,0,0,78.97346188,167.4237392,266.2037453,376.2346267,498.5108804,634.1058398,784.1775552,949.9750955,1132.845301,1334.240022,1414.294423,1499.152088,1589.101214,1684.447286,1785.514124,1892.644971,2006.203669,2126.575889,2254.170443,2389.420669
EL3_16_1,5.080508334,5.60182315,5.978668204,6.139790877,6.295025346,6.828744384,7.354331033,7.800780338,8.324558415,8.874943862,9.535006061,10.24913954,11.07357773,11.96709132,13.07790146,14.2342604,15.49733208,16.73692365,18.11617484,19.61943065,21.36003337,22.91977272,25.15174629,27.24910406,29.45790395
EL3_17_0,0,0,0,0,0,753.6843477,1597.810817,2540.519199,3590.600468,4757.54562,6051.598029,7483.809563,9066.100728,10811.32512,12733.33847,13497.33878,14307.17911,15165.60985,16075.54644,17040.07923,18062.48399,19146.23302,20295.00701,21512.70743,22803.46987
EL3_17_1,1659.536355,1829.82264,1952.91821,2005.54856,2056.255542,2230.593638,2402.275307,2548.106945,2719.197849,2898.979988,3114.587786,3347.857844,3617.158682,3909.02284,4271.866416,4649.5884,5062.167859,5467.077593,5917.60682,6408.64187,6977.205744,7486.691012,8215.760042,8900.85713,9622.356533
EL3_18_0,0,0,0,0,0,358.255535,759.5017342,1207.607757,1706.752297,2261.446794,2876.560321,3557.346264,4309.470903,5139.044052,6052.651883,6415.810996,6800.759656,7208.805235,7641.333549,8099.813562,8585.802376,9100.950518,9647.007549,10225.828,10839.37768
EL3_19_0,0,0,0,0,0,105.5355745,223.735418,355.7393146,502.7782313,666.1811565,847.382431,1047.929606,1269.491866,1513.86905,1783.001326,1889.981405,2003.38029,2123.583107,2250.998093,2386.057979,2529.221458,2680.974745,2841.83323,3012.343224,3193.083817
