Technology,Modeofoperation,CO2,NOx
KEDSGEN_264,1,8.83838E-05,
KEDSGEN_265,1,8.83838E-05,
KEDSGEN_266,1,8.83838E-05,
KEDSGEN_267,1,8.83838E-05,
KEDSGEN_268,1,8.83838E-05,
KEDSGEN_269,1,8.83838E-05,
KEDSGEN_270,1,8.83838E-05,
KEDSGEN_271,1,8.83838E-05,
KEDSGEN_272,1,8.83838E-05,
KEDSGEN_273,1,8.83838E-05,
KEDSGEN_274,1,8.83838E-05,
KEDSGEN_275,1,8.83838E-05,
KEDSGEN_276,1,8.83838E-05,
KEDSGEN_277,1,8.83838E-05,
KEDSGEN_278,1,8.83838E-05,
KEDSGEN_279,1,8.83838E-05,
KEDSGEN_280,1,8.83838E-05,
KEDSGEN_281,1,8.83838E-05,
KEDSGEN_282,1,8.83838E-05,
KEDSGEN_283,1,8.83838E-05,
KEDSGEN_284,1,8.83838E-05,
KEDSGEN_285,1,8.83838E-05,
KEDSGEN_286,1,8.83838E-05,
KEDSGEN_287,1,8.83838E-05,
KEDSGEN_288,1,8.83838E-05,
KEDSGEN_289,1,8.83838E-05,
KEDSGEN_290,1,8.83838E-05,
KEDSGEN_291,1,8.83838E-05,
KEDSGEN_292,1,8.83838E-05,
KEDSGEN_293,1,8.83838E-05,
KEDSGEN_294,1,8.83838E-05,
KEDSGEN_295,1,8.83838E-05,
KEDSGEN_296,1,8.83838E-05,
KEDSGEN_297,1,8.83838E-05,
KEDSGEN_298,1,8.83838E-05,
KEDSGEN_299,1,8.83838E-05,
KEDSGEN_300,1,8.83838E-05,
KEDSGEN_301,1,8.83838E-05,
KEDSGEN_302,1,8.83838E-05,
KEDSGEN_303,1,8.83838E-05,
KEDSGEN_304,1,8.83838E-05,
KEDSGEN_305,1,8.83838E-05,
KEDSGEN_306,1,8.83838E-05,
KEDSGEN_307,1,8.83838E-05,
KEDSGEN_308,1,8.83838E-05,
KEDSGEN_309,1,8.83838E-05,
KEDSGEN_310,1,8.83838E-05,
KEDSGEN_311,1,8.83838E-05,
KEDSGEN_312,1,8.83838E-05,
KEDSGEN_313,1,8.83838E-05,
KEDSGEN_314,1,8.83838E-05,
KEDSGEN_315,1,8.83838E-05,
KEDSGEN_316,1,8.83838E-05,
KEDSGEN_317,1,8.83838E-05,
KEDSGEN_318,1,8.83838E-05,
KEDSGEN_319,1,8.83838E-05,
KEDSGEN_320,1,8.83838E-05,
KEDSGEN_321,1,8.83838E-05,
KEDSGEN_322,1,8.83838E-05,
KEDSGEN_323,1,8.83838E-05,
KEDSGEN_324,1,8.83838E-05,
KEDSGEN_325,1,8.83838E-05,
KEDSGEN_326,1,8.83838E-05,
KEDSGEN_327,1,8.83838E-05,
KEDSGEN_328,1,8.83838E-05,
KEDSGEN_329,1,8.83838E-05,
KEDSGEN_330,1,8.83838E-05,
KEDSGEN_331,1,8.83838E-05,
KEDSGEN_332,1,8.83838E-05,
KEDSGEN_333,1,8.83838E-05,
KEDSGEN_334,1,8.83838E-05,
KEDSGEN_335,1,8.83838E-05,
KEDSGEN_336,1,8.83838E-05,
KEDSGEN_337,1,8.83838E-05,
KEDSGEN_338,1,8.83838E-05,
KEDSGEN_339,1,8.83838E-05,
KEDSGEN_340,1,8.83838E-05,
KEDSGEN_341,1,8.83838E-05,
KEDSGEN_342,1,8.83838E-05,
KEDSGEN_343,1,8.83838E-05,
KEDSGEN_344,1,8.83838E-05,
KEDSGEN_345,1,8.83838E-05,
KEDSGEN_346,1,8.83838E-05,
KEDSGEN_347,1,8.83838E-05,
KEDSGEN_348,1,8.83838E-05,
KEDSGEN_349,1,8.83838E-05,
KEDSGEN_350,1,8.83838E-05,
KEDSGEN_351,1,8.83838E-05,
KEDSGEN_352,1,8.83838E-05,
KEDSGEN_353,1,8.83838E-05,
KEDSGEN_354,1,8.83838E-05,
KEDSGEN_355,1,8.83838E-05,
KEDSGEN_356,1,8.83838E-05,
KEDSGEN_357,1,8.83838E-05,
KEDSGEN_358,1,8.83838E-05,
KEDSGEN_359,1,8.83838E-05,
KEDSGEN_360,1,8.83838E-05,
KEDSGEN_361,1,8.83838E-05,
KEDSGEN_362,1,8.83838E-05,
KEDSGEN_363,1,8.83838E-05,
KEDSGEN_364,1,8.83838E-05,
KEDSGEN_365,1,8.83838E-05,
KEDSGEN_366,1,8.83838E-05,
KEDSGEN_367,1,8.83838E-05,
KEDSGEN_368,1,8.83838E-05,
KEDSGEN_369,1,8.83838E-05,
KEDSGEN_370,1,8.83838E-05,
KEDSGEN_371,1,8.83838E-05,
KEDSGEN_372,1,8.83838E-05,
KEDSGEN_373,1,8.83838E-05,
KEDSGEN_374,1,8.83838E-05,
KEDSGEN_375,1,8.83838E-05,
KEDSGEN_376,1,8.83838E-05,
KEDSGEN_377,1,8.83838E-05,
KEDSGEN_378,1,8.83838E-05,
