Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,elec
EL3_33_0,0,0,0.8149049,1.6298098,2.444714699,3.259619599,4.074524499,4.889429399,5.704334298,6.519239198,7.334144098,8.149048998,8.963953897,9.778858797,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,10.5937637,0
EL3_33_1,15.53445688,16.65486029,17.74655818,18.75390752,19.88061802,21.0709878,22.668777,24.16630283,25.78318982,28.01916334,30.13577572,32.16803953,34.8273473,37.20337126,39.72422008,42.38040373,45.20687596,48.21318566,51.41683915,54.83693421,58.26976112,61.99223778,64.58095395,67.76448655,70.94801916,1
EL3_34_0,0,0,0.918428741,1.836857482,2.755286223,3.673714964,4.592143705,5.510572446,6.429001187,7.347429927,8.265858668,9.184287409,10.10271615,11.02114489,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,11.93957363,0
EL3_34_1,99.49879638,106.6750235,113.6673906,120.1195021,127.3361263,134.9604908,145.1943923,154.7861031,165.1423267,179.4638235,193.0208075,206.0375358,223.0705048,238.28903,254.4351641,271.4481229,289.5517867,308.8073165,329.3268409,351.2326818,373.2200708,397.0626776,413.6435046,434.0341539,454.4248033,1
EL3_35_0,0,0,0.105168549,0.210337099,0.315505648,0.420674198,0.525842747,0.631011296,0.736179846,0.841348395,0.946516945,1.051685494,1.156854043,1.262022593,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,1.367191142,0
EL3_36_0,0,0,0.139909205,0.27981841,0.419727615,0.55963682,0.699546025,0.839455231,0.979364436,1.119273641,1.259182846,1.399092051,1.539001256,1.678910461,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,1.818819666,0
EL3_37_0,0,0,0.093738434,0.187476869,0.281215303,0.374953738,0.468692172,0.562430607,0.656169041,0.749907475,0.84364591,0.937384344,1.031122779,1.124861213,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,1.218599647,0
EL3_37_1,0.013749979,0.014741679,0.015707971,0.016599604,0.017596887,0.018650516,0.020064764,0.021390265,0.022821417,0.024800539,0.026674011,0.028472825,0.030826652,0.032929736,0.03516101,0.037512072,0.040013861,0.042674829,0.045510471,0.048537692,0.051576183,0.05487105,0.057162395,0.059980228,0.062798061,1
EL3_38_0,0,0,0.083828277,0.167656554,0.25148483,0.335313107,0.419141384,0.502969661,0.586797938,0.670626214,0.754454491,0.838282768,0.922111045,1.005939322,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,1.089767598,0
EL3_39_0,0,0,0.194790608,0.389581216,0.584371824,0.779162432,0.97395304,1.168743647,1.363534255,1.558324863,1.753115471,1.947906079,2.142696687,2.337487295,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,2.532277903,0
EL3_39_1,0.285401784,0.305986034,0.3260429,0.3445501,0.365250224,0.387119908,0.416474773,0.443987582,0.473693315,0.514773016,0.553659792,0.590996901,0.639854173,0.683506905,0.729820385,0.778620259,0.830548706,0.885781159,0.944639246,1.007473836,1.070542339,1.138932337,1.186492687,1.24498111,1.303469534,1
EL3_40_0,0,0,0.014538511,0.029077023,0.043615534,0.058154046,0.072692557,0.087231069,0.10176958,0.116308091,0.130846603,0.145385114,0.159923626,0.174462137,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0.189000649,0
EL3_41_0,0,0,0.010496268,0.020992535,0.031488803,0.04198507,0.052481338,0.062977605,0.073473873,0.08397014,0.094466408,0.104962675,0.115458943,0.125955211,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0.136451478,0
EL3_42_0,0,0,0.028534976,0.057069953,0.085604929,0.114139906,0.142674882,0.171209859,0.199744835,0.228279812,0.256814788,0.285349765,0.313884741,0.342419718,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0.370954694,0
EL3_42_1,0.342917198,0.367649675,0.391748489,0.413985341,0.438857044,0.465134002,0.500404588,0.533461899,0.569154061,0.618512322,0.665235731,0.710097178,0.768800381,0.821250201,0.876896976,0.935531215,0.997924509,1.064287647,1.135007073,1.210504364,1.286282706,1.368454956,1.425599876,1.495875141,1.566150407,1
EL3_43_0,0,0,0.025317949,0.050635898,0.075953847,0.101271796,0.126589745,0.151907694,0.177225643,0.202543592,0.227861541,0.25317949,0.278497439,0.303815388,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0.329133337,0
EL3_43_1,0.283879643,0.30435411,0.324304006,0.342712501,0.363302225,0.385055271,0.414253577,0.441619651,0.471166954,0.512027563,0.550706943,0.587844921,0.636441621,0.679861539,0.725928013,0.774467623,0.826119118,0.881056998,0.939601176,1.002100649,1.064832786,1.132858038,1.180164733,1.238341219,1.296517704,1
EL3_44_0,0,0,0.013008861,0.026017722,0.039026584,0.052035445,0.065044306,0.078053167,0.091062029,0.10407089,0.117079751,0.130088612,0.143097473,0.156106335,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0.169115196,0
EL3_45_0,0,0,0.007512433,0.015024867,0.0225373,0.030049733,0.037562167,0.0450746,0.052587033,0.060099467,0.0676119,0.075124333,0.082636767,0.0901492,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0.097661633,0
EL3_46_0,0,0,0.023591643,0.047183285,0.070774928,0.094366571,0.117958213,0.141549856,0.165141499,0.188733141,0.212324784,0.235916427,0.259508069,0.283099712,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0.306691355,0
EL3_47_0,0,0,0.100690091,0.201380183,0.302070274,0.402760366,0.503450457,0.604140548,0.70483064,0.805520731,0.906210823,1.006900914,1.107591006,1.208281097,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,1.308971188,0
EL3_48_0,0,0,0.090259333,0.180518667,0.270778,0.361037333,0.451296667,0.541556,0.631815333,0.722074667,0.812334,0.902593333,0.992852667,1.083112,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,1.173371333,0
EL3_48_1,24.73292535,26.51675687,28.25488538,29.85871976,31.65259301,33.54782032,36.09171364,38.47597431,41.05027384,44.61024165,47.98017059,51.21580539,55.44977771,59.23272446,63.2462517,67.47525,71.97537042,76.76181607,81.86245932,87.30770638,92.77322425,98.69990312,102.8214842,107.8900923,112.9587005,1
EL3_49_0,0,0,0.44651832,0.89303664,1.339554961,1.786073281,2.232591601,2.679109921,3.125628241,3.572146561,4.018664882,4.465183202,4.911701522,5.358219842,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,5.804738162,0
EL3_49_1,8.625265987,9.247352582,9.853500885,10.41281597,11.03840448,11.69933881,12.58648646,13.41796443,14.31571582,15.55720541,16.73242156,17.86080449,19.33734384,20.65659425,22.05625642,23.53106115,25.10041597,26.76962275,28.54840161,30.44735629,32.35338013,34.4202275,35.85757196,37.62517901,39.39278606,1
EL3_50_0,0,0,0.691454098,1.382908195,2.074362293,2.765816391,3.457270489,4.148724586,4.840178684,5.531632782,6.22308688,6.914540977,7.605995075,8.297449173,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,8.98890327,0
EL3_50_1,1.551240966,1.663122294,1.772137144,1.87272911,1.985240252,2.104108287,2.263660442,2.413200489,2.574659711,2.797939725,3.009300562,3.212238516,3.477791871,3.71505705,3.966784162,4.232025549,4.514271626,4.814475927,5.134386598,5.475910708,5.818706197,6.190425551,6.448929765,6.766831204,7.084732643,1
