,Column,Fuel,Technology,Outputactivity,ModeofOperation
124,0,EL3_43_0,BACKSTOP,0.865,1
125,0,EL3_43_1,KEEL00d_43,0.865,1
126,0,EL3_43_1,SOPV12h_43_1,1.0,1
127,0,EL3_43_0,SOPV12h_43_0,1.0,1
128,0,EL3_43_1,SOPV8h_43_1,1.0,1
129,0,EL3_43_0,SOPV8h_43_0,1.0,1
130,0,EL3_43_1,SOPV_43_1,1.0,1
131,0,EL3_43_0,SOPV_43_0,1.0,1
132,0,EL3_48_1,TRLV_48_1,0.865,1
133,0,EL3_48_1,BACKSTOP,0.865,1
134,0,EL3_48_0,TRLV_48_0,0.865,1
135,0,EL3_48_0,BACKSTOP,0.865,1
136,0,EL3_48_1,KEEL00d_48,0.865,1
137,0,EL3_48_1,SOPV12h_48_1,1.0,1
138,0,EL3_48_0,SOPV12h_48_0,1.0,1
139,0,EL3_48_1,SOPV8h_48_1,1.0,1
140,0,EL3_48_0,SOPV8h_48_0,1.0,1
141,0,EL3_48_1,SOPV_48_1,1.0,1
142,0,EL3_48_0,SOPV_48_0,1.0,1
143,0,EL3_49_1,TRLV_49_1,0.865,1
144,0,EL3_49_1,BACKSTOP,0.865,1
145,0,EL3_49_0,TRLV_49_0,0.865,1
146,0,EL3_49_0,BACKSTOP,0.865,1
147,0,EL3_49_1,KEEL00d_49,0.865,1
148,0,EL3_49_1,SOPV12h_49_1,1.0,1
149,0,EL3_49_0,SOPV12h_49_0,1.0,1
150,0,EL3_49_1,SOPV8h_49_1,1.0,1
151,0,EL3_49_0,SOPV8h_49_0,1.0,1
152,0,EL3_49_1,SOPV_49_1,1.0,1
153,0,EL3_49_0,SOPV_49_0,1.0,1
154,0,EL3_50_1,TRLV_50_1,0.865,1
155,0,EL3_50_1,BACKSTOP,0.865,1
156,0,EL3_50_0,TRLV_50_0,0.865,1
157,0,EL3_50_0,BACKSTOP,0.865,1
158,0,EL3_50_1,KEEL00d_50,0.865,1
159,0,EL3_50_1,SOPV12h_50_1,1.0,1
160,0,EL3_50_0,SOPV12h_50_0,1.0,1
161,0,EL3_50_1,SOPV8h_50_1,1.0,1
162,0,EL3_50_0,SOPV8h_50_0,1.0,1
163,0,EL3_50_1,SOPV_50_1,1.0,1
164,0,EL3_50_0,SOPV_50_0,1.0,1
165,0,EL3_51_1,TRLV_51_1,0.865,1
166,0,EL3_51_1,BACKSTOP,0.865,1
167,0,EL3_51_0,TRLV_51_0,0.865,1
168,0,EL3_51_0,BACKSTOP,0.865,1
169,0,EL3_51_1,KEEL00d_51,0.865,1
170,0,EL3_51_1,SOPV12h_51_1,1.0,1
171,0,EL3_51_0,SOPV12h_51_0,1.0,1
172,0,EL3_51_1,SOPV8h_51_1,1.0,1
173,0,EL3_51_0,SOPV8h_51_0,1.0,1
174,0,EL3_51_1,SOPV_51_1,1.0,1
175,0,EL3_51_0,SOPV_51_0,1.0,1
176,0,EL3_52_1,TRLV_52_1,0.865,1
177,0,EL3_52_1,BACKSTOP,0.865,1
178,0,EL3_52_0,TRLV_52_0,0.865,1
179,0,EL3_52_0,BACKSTOP,0.865,1
180,0,EL3_52_1,KEEL00d_52,0.865,1
181,0,EL3_52_1,SOPV12h_52_1,1.0,1
182,0,EL3_52_0,SOPV12h_52_0,1.0,1
183,0,EL3_52_1,SOPV8h_52_1,1.0,1
184,0,EL3_52_0,SOPV8h_52_0,1.0,1
185,0,EL3_52_1,SOPV_52_1,1.0,1
186,0,EL3_52_0,SOPV_52_0,1.0,1
187,0,EL3_53_1,TRLV_53_1,0.865,1
188,0,EL3_53_1,BACKSTOP,0.865,1
189,0,EL3_53_0,TRLV_53_0,0.865,1
190,0,EL3_53_0,BACKSTOP,0.865,1
191,0,EL3_53_1,KEEL00d_53,0.865,1
192,0,EL3_53_1,SOPV12h_53_1,1.0,1
193,0,EL3_53_0,SOPV12h_53_0,1.0,1
194,0,EL3_53_1,SOPV8h_53_1,1.0,1
195,0,EL3_53_0,SOPV8h_53_0,1.0,1
196,0,EL3_53_1,SOPV_53_1,1.0,1
