,Column,Fuel,Technology,Inputactivity,ModeofOperation
1030,0,SOLAR_208,SOPV_208_0,1,1
1031,0,SOLAR_208,SOPV8h_208_1,1,1
1032,0,SOLAR_208,SOPV8h_208_0,1,1
1033,0,SOLAR_208,SOPV12h_208_1,1,1
1045,0,SOLAR_209,SOPV12h_209_0,1,1
1035,0,KEEL2_208,TRLV_208_1,1,1
1036,0,KEEL2_208,TRLV_208_0,1,1
1037,0,EL2_209,TRLV_209_1,1,1
1038,0,EL2_209,TRLV_209_0,1,1
1039,0,KEEL2,KEEL00d_209,1,1
1040,0,SOLAR_209,SOPV_209_1,1,1
1041,0,SOLAR_209,SOPV_209_0,1,1
1042,0,SOLAR_209,SOPV8h_209_1,1,1
1043,0,SOLAR_209,SOPV8h_209_0,1,1
1044,0,SOLAR_209,SOPV12h_209_1,1,1
1056,0,SOLAR_217,SOPV12h_217_0,1,1
1046,0,KEEL2_209,TRLV_209_1,1,1
1047,0,KEEL2_209,TRLV_209_0,1,1
1048,0,EL2_217,TRLV_217_1,1,1
1049,0,EL2_217,TRLV_217_0,1,1
1050,0,KEEL2,KEEL00d_217,1,1
1051,0,SOLAR_217,SOPV_217_1,1,1
1052,0,SOLAR_217,SOPV_217_0,1,1
1053,0,SOLAR_217,SOPV8h_217_1,1,1
1054,0,SOLAR_217,SOPV8h_217_0,1,1
1055,0,SOLAR_217,SOPV12h_217_1,1,1
1067,0,SOLAR_218,SOPV12h_218_0,1,1
1057,0,KEEL2_217,TRLV_217_1,1,1
1058,0,KEEL2_217,TRLV_217_0,1,1
1059,0,EL2_218,TRLV_218_1,1,1
1060,0,EL2_218,TRLV_218_0,1,1
1061,0,KEEL2,KEEL00d_218,1,1
1062,0,SOLAR_218,SOPV_218_1,1,1
1063,0,SOLAR_218,SOPV_218_0,1,1
1064,0,SOLAR_218,SOPV8h_218_1,1,1
1065,0,SOLAR_218,SOPV8h_218_0,1,1
1066,0,SOLAR_218,SOPV12h_218_1,1,1
1078,0,SOLAR_219,SOPV12h_219_0,1,1
1068,0,KEEL2_218,TRLV_218_1,1,1
1069,0,KEEL2_218,TRLV_218_0,1,1
1070,0,EL2_219,TRLV_219_1,1,1
