Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
4E,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863
4N,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603
5D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
5E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
5N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
6D,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548
6E,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863
6N,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603
7D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
7E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
7N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
8D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
8E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
8N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
9D,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548
9E,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863
9N,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603
10D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
10E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
10N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
11D,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548,0.044520548
11E,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,0.01369863
11N,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603,0.023972603
12D,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566,0.046004566
12E,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251,0.014155251
12N,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689,0.024771689
