,DISTANCE,SendTech,INFUEL,INTECH,OUTFUEL
694,,,EL2_15,TRHV_15_14,EL2_14
695,,,EL2_26,TRHV_26_15,EL2_15
696,,,EL2_14,TRHV_14_15,EL2_15
697,,,EL2_16,TRHV_16_15,EL2_15
698,,,EL2_27,TRHV_27_16,EL2_16
699,,,EL2_15,TRHV_15_16,EL2_16
700,,,EL2_31,TRHV_31_17,EL2_17
701,,,EL2_18,TRHV_18_17,EL2_17
702,,,EL2_32,TRHV_32_18,EL2_18
703,,,EL2_17,TRHV_17_18,EL2_18
704,,,EL2_35,TRHV_35_19,EL2_19
705,,,EL2_38,TRHV_38_22,EL2_22
706,,,EL2_23,TRHV_23_22,EL2_22
707,,,EL2_11,TRHV_11_22,EL2_22
708,,,EL2_39,TRHV_39_23,EL2_23
709,,,EL2_22,TRHV_22_23,EL2_23
710,,,EL2_24,TRHV_24_23,EL2_23
711,,,EL2_12,TRHV_12_23,EL2_23
712,,,EL2_40,TRHV_40_24,EL2_24
713,,,EL2_23,TRHV_23_24,EL2_24
714,,,EL2_25,TRHV_25_24,EL2_24
715,,,EL2_13,TRHV_13_24,EL2_24
716,,,EL2_41,TRHV_41_25,EL2_25
717,,,EL2_24,TRHV_24_25,EL2_25
718,,,EL2_26,TRHV_26_25,EL2_25
719,,,EL2_14,TRHV_14_25,EL2_25
720,,,EL2_25,TRHV_25_26,EL2_26
721,,,EL2_27,TRHV_27_26,EL2_26
722,,,EL2_15,TRHV_15_26,EL2_26
723,,,EL2_26,TRHV_26_27,EL2_27
724,,,EL2_28,TRHV_28_27,EL2_27
725,,,EL2_16,TRHV_16_27,EL2_27
726,,,EL2_44,TRHV_44_28,EL2_28
727,,,EL2_27,TRHV_27_28,EL2_28
728,,,EL2_29,TRHV_29_28,EL2_28
729,,,EL2_45,TRHV_45_29,EL2_29
730,,,EL2_28,TRHV_28_29,EL2_29
731,,,EL2_31,TRHV_31_30,EL2_30
732,,,EL2_30,TRHV_30_31,EL2_31
733,,,EL2_32,TRHV_32_31,EL2_31
734,,,EL2_17,TRHV_17_31,EL2_31
735,,,EL2_53,TRHV_53_32,EL2_32
736,,,EL2_31,TRHV_31_32,EL2_32
737,,,EL2_18,TRHV_18_32,EL2_32
738,,,EL2_36,TRHV_36_35,EL2_35
739,,,EL2_19,TRHV_19_35,EL2_35
740,,,EL2_56,TRHV_56_36,EL2_36
741,,,EL2_35,TRHV_35_36,EL2_36
742,,,EL2_37,TRHV_37_36,EL2_36
743,,,EL2_57,TRHV_57_37,EL2_37
744,,,EL2_36,TRHV_36_37,EL2_37
745,,,EL2_38,TRHV_38_37,EL2_37
746,,,EL2_37,TRHV_37_38,EL2_38
747,,,EL2_39,TRHV_39_38,EL2_38
748,,,EL2_22,TRHV_22_38,EL2_38
749,,,EL2_59,TRHV_59_39,EL2_39
750,,,EL2_38,TRHV_38_39,EL2_39
751,,,EL2_40,TRHV_40_39,EL2_39
752,,,EL2_23,TRHV_23_39,EL2_39
753,,,EL2_60,TRHV_60_40,EL2_40
754,,,EL2_39,TRHV_39_40,EL2_40
755,,,EL2_41,TRHV_41_40,EL2_40
756,,,EL2_24,TRHV_24_40,EL2_40
757,,,EL2_61,TRHV_61_41,EL2_41
758,,,EL2_40,TRHV_40_41,EL2_41
759,,,EL2_25,TRHV_25_41,EL2_41
760,,,EL2_64,TRHV_64_44,EL2_44
761,,,EL2_45,TRHV_45_44,EL2_44
762,,,EL2_28,TRHV_28_44,EL2_44
763,,,EL2_65,TRHV_65_45,EL2_45
764,,,EL2_44,TRHV_44_45,EL2_45
765,,,EL2_46,TRHV_46_45,EL2_45
766,,,EL2_29,TRHV_29_45,EL2_45
767,,,EL2_66,TRHV_66_46,EL2_46
768,,,EL2_45,TRHV_45_46,EL2_46
769,,,EL2_47,TRHV_47_46,EL2_46
770,,,EL2_67,TRHV_67_47,EL2_47
771,,,EL2_46,TRHV_46_47,EL2_47
772,,,EL2_70,TRHV_70_50,EL2_50
773,,,EL2_54,TRHV_54_53,EL2_53
774,,,EL2_32,TRHV_32_53,EL2_53
775,,,EL2_53,TRHV_53_54,EL2_54
776,,,EL2_55,TRHV_55_54,EL2_54
777,,,EL2_54,TRHV_54_55,EL2_55
778,,,EL2_57,TRHV_57_56,EL2_56
779,,,EL2_36,TRHV_36_56,EL2_56
780,,,EL2_75,TRHV_75_57,EL2_57
781,,,EL2_56,TRHV_56_57,EL2_57
782,,,EL2_37,TRHV_37_57,EL2_57
783,,,EL2_77,TRHV_77_59,EL2_59
784,,,EL2_60,TRHV_60_59,EL2_59
785,,,EL2_39,TRHV_39_59,EL2_59
786,,,EL2_78,TRHV_78_60,EL2_60
787,,,EL2_59,TRHV_59_60,EL2_60
788,,,EL2_61,TRHV_61_60,EL2_60
789,,,EL2_40,TRHV_40_60,EL2_60
790,,,EL2_79,TRHV_79_61,EL2_61
791,,,EL2_60,TRHV_60_61,EL2_61
792,,,EL2_62,TRHV_62_61,EL2_61
793,,,EL2_41,TRHV_41_61,EL2_61
794,,,EL2_80,TRHV_80_62,EL2_62
795,,,EL2_61,TRHV_61_62,EL2_62
796,,,EL2_63,TRHV_63_62,EL2_62
797,,,EL2_81,TRHV_81_63,EL2_63
798,,,EL2_62,TRHV_62_63,EL2_63
799,,,EL2_64,TRHV_64_63,EL2_63
800,,,EL2_82,TRHV_82_64,EL2_64
801,,,EL2_63,TRHV_63_64,EL2_64
802,,,EL2_65,TRHV_65_64,EL2_64
803,,,EL2_44,TRHV_44_64,EL2_64
804,,,EL2_83,TRHV_83_65,EL2_65
805,,,EL2_64,TRHV_64_65,EL2_65
806,,,EL2_66,TRHV_66_65,EL2_65
807,,,EL2_45,TRHV_45_65,EL2_65
808,,,EL2_84,TRHV_84_66,EL2_66
809,,,EL2_65,TRHV_65_66,EL2_66
810,,,EL2_67,TRHV_67_66,EL2_66
811,,,EL2_46,TRHV_46_66,EL2_66
812,,,EL2_85,TRHV_85_67,EL2_67
813,,,EL2_66,TRHV_66_67,EL2_67
814,,,EL2_68,TRHV_68_67,EL2_67
815,,,EL2_47,TRHV_47_67,EL2_67
816,,,EL2_86,TRHV_86_68,EL2_68
817,,,EL2_67,TRHV_67_68,EL2_68
818,,,EL2_69,TRHV_69_68,EL2_68
819,,,EL2_68,TRHV_68_69,EL2_69
820,,,EL2_70,TRHV_70_69,EL2_69
821,,,EL2_69,TRHV_69_70,EL2_70
822,,,EL2_71,TRHV_71_70,EL2_70
823,,,EL2_50,TRHV_50_70,EL2_70
824,,,EL2_89,TRHV_89_71,EL2_71
825,,,EL2_70,TRHV_70_71,EL2_71
826,,,EL2_72,TRHV_72_71,EL2_71
827,,,EL2_90,TRHV_90_72,EL2_72
828,,,EL2_71,TRHV_71_72,EL2_72
829,,,EL2_76,TRHV_76_75,EL2_75
830,,,EL2_57,TRHV_57_75,EL2_75
831,,,EL2_75,TRHV_75_76,EL2_76
832,,,EL2_77,TRHV_77_76,EL2_76
833,,,EL2_76,TRHV_76_77,EL2_77
834,,,EL2_78,TRHV_78_77,EL2_77
835,,,EL2_59,TRHV_59_77,EL2_77
836,,,EL2_95,TRHV_95_78,EL2_78
837,,,EL2_77,TRHV_77_78,EL2_78
838,,,EL2_79,TRHV_79_78,EL2_78
839,,,EL2_60,TRHV_60_78,EL2_78
840,,,EL2_96,TRHV_96_79,EL2_79
841,,,EL2_78,TRHV_78_79,EL2_79
842,,,EL2_80,TRHV_80_79,EL2_79
843,,,EL2_61,TRHV_61_79,EL2_79
844,,,EL2_79,TRHV_79_80,EL2_80
845,,,EL2_81,TRHV_81_80,EL2_80
846,,,EL2_62,TRHV_62_80,EL2_80
847,,,EL2_98,TRHV_98_81,EL2_81
848,,,EL2_80,TRHV_80_81,EL2_81
849,,,EL2_82,TRHV_82_81,EL2_81
850,,,EL2_63,TRHV_63_81,EL2_81
851,,,EL2_99,TRHV_99_82,EL2_82
852,,,EL2_81,TRHV_81_82,EL2_82
853,,,EL2_83,TRHV_83_82,EL2_82
854,,,EL2_64,TRHV_64_82,EL2_82
855,,,EL2_82,TRHV_82_83,EL2_83
856,,,EL2_84,TRHV_84_83,EL2_83
857,,,EL2_65,TRHV_65_83,EL2_83
858,,,EL2_101,TRHV_101_84,EL2_84
859,,,EL2_83,TRHV_83_84,EL2_84
860,,,EL2_85,TRHV_85_84,EL2_84
861,,,EL2_66,TRHV_66_84,EL2_84
862,,,EL2_84,TRHV_84_85,EL2_85
863,,,EL2_86,TRHV_86_85,EL2_85
864,,,EL2_67,TRHV_67_85,EL2_85
865,,,EL2_103,TRHV_103_86,EL2_86
866,,,EL2_85,TRHV_85_86,EL2_86
867,,,EL2_68,TRHV_68_86,EL2_86
868,,,EL2_90,TRHV_90_89,EL2_89
869,,,EL2_71,TRHV_71_89,EL2_89
870,,,EL2_107,TRHV_107_90,EL2_90
871,,,EL2_89,TRHV_89_90,EL2_90
872,,,EL2_72,TRHV_72_90,EL2_90
873,,,EL2_112,TRHV_112_95,EL2_95
874,,,EL2_96,TRHV_96_95,EL2_95
875,,,EL2_78,TRHV_78_95,EL2_95
876,,,EL2_113,TRHV_113_96,EL2_96
877,,,EL2_95,TRHV_95_96,EL2_96
878,,,EL2_79,TRHV_79_96,EL2_96
879,,,EL2_115,TRHV_115_98,EL2_98
